drink,volume,caffeine,strength,type
7-Up,12,0,0,soda
A&W Cream Soda,12,29,2.4,soda
A&W Root Beer,12,0,0,soda
Afri Cola,12,89,7.4,soda
Ale 8 1,12,37,3.1,soda
Barq's Red Creme Soda,12,0,0,soda
Barq's Root Beer,12,23,1.9,soda
Bawls,10,67,6.7,soda
Bawls Cherry,16,100,6.2,soda
Bawls Exxtra,16,150,9.4,soda
Bawls Root Beer,16,100,6.2,soda
Big Red Soda,12,34,2.8,soda
Blink Energy Water,16.9,150,8.9,soda
Boost Nutritional Drink,8,12,1.5,soda
Caffeinated Club Soda,12,34,2.8,soda
Canada Dry Green Tea Ginger Ale,12,9,0.8,soda
Cheerwine,12,48,4,soda
Cherry Coke,12,34,2.8,soda
Coca-Cola C2,12,34,2.8,soda
Coca-Cola caffeine free,12,0,0,soda
Coca-Cola Classic,12,34,2.8,soda
Coca-Cola Life,12,27,2.2,soda
Coca-Cola Zero,12,34,2.8,soda
Coke Zero,16,45,2.8,soda
Cult Cola,16.91,320,18.9,soda
Diet A&W Cream Soda,12,22,1.8,soda
Diet Cheerwine,12,48,4,soda
Diet Cherry Coca-Cola,12,34,2.8,soda
Diet Coke,12,45,3.8,soda
Diet Coke Plus,12,45,3.8,soda
Diet Coke with Lemon,12,45,3.8,soda
Diet Coke with Lime,12,45,3.8,soda
Diet Coke with Splenda,12,34,2.8,soda
Diet Dr Pepper,12,41,3.4,soda
Diet Dr Pepper Cherry,12,39,3.2,soda
Diet Dr Pepper Cherry Vanilla,12,39,3.2,soda
Diet Mountain Dew,12,54,4.5,soda
Diet Mr. Pibb,12,40,3.3,soda
Diet Pepsi,12,35,2.9,soda
"Diet Pepsi UK, AU, NZ",12.01,43,3.5,soda
Diet RC Cola,12,47,3.9,soda
Diet Ruby Red Squirt,12,39,3.2,soda
Diet Sunkist Orange Soda,12,42,3.5,soda
Diet Vanilla Coke,12,45,3.8,soda
Diet Wild Cherry Pepsi,12,38,3.2,soda
DOC 360,20,100,5,soda
Double Cola,12,36,3,soda
Dr Pepper,12,41,3.4,soda
Dr Pepper 10,12,51,4.2,soda
Dr Pepper Cherry,12,39,3.2,soda
Dr Pepper Cherry Vanilla,12,39,3.2,soda
Fanta,12,0,0,soda
Faygo Cola,12,42,3.5,soda
Faygo Moon Mist,12,20,1.6,soda
Flatt Cola,8,65,8.1,soda
Fresca,12,0,0,soda
Fritz Kola,11.16,83,7.4,soda
Ginger Ale,12,0,0,soda
Hansen's Diet Red,8.3,57,6.9,soda
Honest Professor Fizz,12,40,3.3,soda
IBC Root Beer,12,0,0,soda
Inca Kola,16,50,3.1,soda
Jazz Caramel Cream,12,38,3.2,soda
Kickapoo Soda: Joy Juice & Fruit Shine,12,40,3.3,soda
Kinley Soda,12,0,0,soda
Mello Yello,12,53,4.4,soda
Mello Yello Zero,12,51,4.2,soda
Mountain Dew,12,54,4.5,soda
Mountain Dew Baja Blast,16,72,4.5,soda
Mountain Dew Game Fuel,20,121,6,soda
